diagram_id,similarity_score,ged_value,max_possible_ged,normalized_ged,semantic_score,structural_score,relationship_score,details,num_edit_operations,edit_operations_summary,variation_type,expected_score_range,modifications,human_score,nodes_key,nodes_student,nodes_matched,nodes_missing,nodes_extra,edges_key,edges_student,edges_wrong_type,system_category,human_category,error,abs_error
student_021,80.03400332852256,5.488316321869691,22.0,0.2494689237213496,58.94191556033634,85.71428571428572,75.0,"{'nodes_key': 7, 'nodes_student': 6, 'nodes_matched': 6, 'nodes_missing': 1, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 6, 'edges_wrong_type': 0, 'edges_missing': 2, 'edges_extra': 0, 'total_name_cost': 8.622197732329369, 'total_attr_cost': 5.198898476362228, 'total_method_cost': 9.038628101348877}",21,"{'node_substitutions': 21, 'edge_wrong_types': 0, 'total_operations': 21}",missing_classes,"[60, 80]",['Removed class: KeranjangBelanja'],77.18433612749459,7,6,6,1,0,8,6,0,Good,Good,2.8496672010279696,2.8496672010279696
student_022,86.94424932936916,3.3035711616277696,22.0,0.15016232552853498,57.8498980828694,85.71428571428572,75.0,"{'nodes_key': 7, 'nodes_student': 6, 'nodes_matched': 6, 'nodes_missing': 1, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 6, 'edges_wrong_type': 0, 'edges_missing': 2, 'edges_extra': 0, 'total_name_cost': 8.851521402597427, 'total_attr_cost': 6.004652003447215, 'total_method_cost': 8.650747646888096}",21,"{'node_substitutions': 21, 'edge_wrong_types': 0, 'total_operations': 21}",missing_classes,"[60, 80]",['Removed class: Pembayaran'],89.98154686198285,7,6,6,1,0,8,6,0,Good,Good,3.0372975326136924,3.0372975326136924
student_023,80.71118925433595,5.257682860642672,22.0,0.2389855845746669,51.3273877898852,71.42857142857143,50.0,"{'nodes_key': 7, 'nodes_student': 5, 'nodes_matched': 5, 'nodes_missing': 2, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 4, 'edges_wrong_type': 0, 'edges_missing': 4, 'edges_extra': 0, 'total_name_cost': 7.3008918315172195, 'total_attr_cost': 4.596465251843135, 'total_method_cost': 3.9604823589324947}",15,"{'node_substitutions': 15, 'edge_wrong_types': 0, 'total_operations': 15}",missing_classes,"[60, 80]","['Removed class: Produk', 'Removed class: Faktur']",83.1484418772205,7,5,5,2,0,8,4,0,Good,Good,2.4372526228845572,2.4372526228845572
student_024,71.55147043032247,8.747096974651019,22.0,0.3975953170295918,53.72869402170182,71.42857142857143,25.0,"{'nodes_key': 7, 'nodes_student': 5, 'nodes_matched': 5, 'nodes_missing': 2, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 2, 'edges_wrong_type': 0, 'edges_missing': 6, 'edges_extra': 0, 'total_name_cost': 6.940695896744728, 'total_attr_cost': 4.517483633756637, 'total_method_cost': 7.652962992588678}",15,"{'node_substitutions': 15, 'edge_wrong_types': 0, 'total_operations': 15}",missing_classes,"[60, 80]","['Removed class: Pesanan', 'Removed class: Pelanggan']",67.25757656727379,7,5,5,2,0,8,2,0,Good,Fair,4.29389386304868,4.29389386304868
student_025,74.55518137396243,7.508344818651676,22.0,0.3412884008478035,53.18786303202312,71.42857142857143,25.0,"{'nodes_key': 7, 'nodes_student': 5, 'nodes_matched': 5, 'nodes_missing': 2, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 2, 'edges_wrong_type': 0, 'edges_missing': 6, 'edges_extra': 0, 'total_name_cost': 7.021820545196533, 'total_attr_cost': 4.491346714893977, 'total_method_cost': 7.2392949263254796}",15,"{'node_substitutions': 15, 'edge_wrong_types': 0, 'total_operations': 15}",missing_classes,"[60, 80]","['Removed class: Pembayaran', 'Removed class: Pesanan']",69.57569836543507,7,5,5,2,0,8,2,0,Good,Fair,4.979483008527353,4.979483008527353
student_026,86.33117401038433,3.4832628563046457,22.0,0.15833012983202935,61.2948601586478,87.5,100.0,"{'nodes_key': 7, 'nodes_student': 8, 'nodes_matched': 6, 'nodes_missing': 0, 'nodes_extra': 1, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 13.546798944473267, 'total_attr_cost': 14.815724573532739, 'total_method_cost': 16.63207812110583}",35,"{'node_substitutions': 35, 'edge_wrong_types': 0, 'total_operations': 35}",extra_classes,"[60, 80]",['Added extra class: ExtraClass1'],85.10684759875669,7,8,6,0,1,8,8,0,Good,Good,1.2243264116276436,1.2243264116276436
student_027,83.07133497624386,4.483262856304646,22.0,0.20378467528657482,61.83100945892788,77.77777777777779,100.0,"{'nodes_key': 7, 'nodes_student': 9, 'nodes_matched': 5, 'nodes_missing': 0, 'nodes_extra': 2, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 16.03097602725029, 'total_attr_cost': 21.81572457353274, 'total_method_cost': 22.015737185875572}",42,"{'node_substitutions': 42, 'edge_wrong_types': 0, 'total_operations': 42}",extra_classes,"[60, 80]","['Added extra class: ExtraClass1', 'Added extra class: ExtraClass2']",81.80654388431533,7,9,5,0,2,8,8,0,Good,Good,1.2647910919285295,1.2647910919285295
student_028,83.07133497624386,4.483262856304646,22.0,0.20378467528657482,61.83100945892788,77.77777777777779,100.0,"{'nodes_key': 7, 'nodes_student': 9, 'nodes_matched': 5, 'nodes_missing': 0, 'nodes_extra': 2, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 16.03097602725029, 'total_attr_cost': 21.81572457353274, 'total_method_cost': 22.015737185875572}",42,"{'node_substitutions': 42, 'edge_wrong_types': 0, 'total_operations': 42}",extra_classes,"[60, 80]","['Added extra class: ExtraClass1', 'Added extra class: ExtraClass2']",85.51812867562145,7,9,5,0,2,8,8,0,Good,Good,2.4467936993775936,2.4467936993775936
student_029,86.33117401038433,3.4832628563046457,22.0,0.15833012983202935,61.2948601586478,87.5,100.0,"{'nodes_key': 7, 'nodes_student': 8, 'nodes_matched': 6, 'nodes_missing': 0, 'nodes_extra': 1, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 13.546798944473267, 'total_attr_cost': 14.815724573532739, 'total_method_cost': 16.63207812110583}",35,"{'node_substitutions': 35, 'edge_wrong_types': 0, 'total_operations': 35}",extra_classes,"[60, 80]",['Added extra class: ExtraClass1'],82.01398503895054,7,8,6,0,1,8,8,0,Good,Good,4.317188971433794,4.317188971433794
student_030,83.07133497624386,4.483262856304646,22.0,0.20378467528657482,61.83100945892788,77.77777777777779,100.0,"{'nodes_key': 7, 'nodes_student': 9, 'nodes_matched': 5, 'nodes_missing': 0, 'nodes_extra': 2, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 16.03097602725029, 'total_attr_cost': 21.81572457353274, 'total_method_cost': 22.015737185875572}",42,"{'node_substitutions': 42, 'edge_wrong_types': 0, 'total_operations': 42}",extra_classes,"[60, 80]","['Added extra class: ExtraClass1', 'Added extra class: ExtraClass2']",88.32801469970654,7,9,5,0,2,8,8,0,Good,Good,5.256679723462682,5.256679723462682
student_031,73.90112762928095,7.769505156079928,22.0,0.35315932527636035,60.20264758595398,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.143258675932884, 'total_attr_cost': 12.14466607173284, 'total_method_cost': 11.267929186423618}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",missing_attributes,"[70, 85]","['Removed attribute idProduk from Produk', 'Removed attribute telepon from Pelanggan', 'Removed attribute idPesanan from Pengiriman', 'Removed attribute idPelanggan from KeranjangBelanja']",71.30213359384832,7,7,7,0,0,8,8,0,Good,Good,2.598994035432625,2.598994035432625
student_032,85.17203195609395,3.830075313150883,22.0,0.1740943324159492,60.31642880822932,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.111399933695793, 'total_attr_cost': 12.284797276059786, 'total_method_cost': 11.26067168513934}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",missing_attributes,"[70, 85]","['Removed attribute idProduk from Produk', 'Removed attribute totalJumlah from Pesanan', 'Removed attribute idPembayaran from Pembayaran', 'Removed attribute nomorFaktur from Faktur']",85.20519435702326,7,7,7,0,0,8,8,0,Good,Good,0.03316240092931366,0.03316240092931366
student_033,73.57159664595513,7.902844308068355,22.0,0.35922019582128883,58.70239803833621,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.563328549265862, 'total_attr_cost': 10.50946137011051, 'total_method_cost': 12.44170015056928}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",missing_attributes,"[70, 85]","['Removed attribute totalJumlah from Faktur', 'Removed attribute status from Pesanan']",70.26485834511713,7,7,7,0,0,8,8,0,Good,Good,3.306738300837992,3.306738300837992
student_034,93.17028986872955,1.6126774221658708,22.0,0.07330351918935776,60.161851399711196,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.154681608080864, 'total_attr_cost': 10.459974041581152, 'total_method_cost': 11.252924591302872}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",missing_attributes,"[70, 85]","['Removed attribute totalJumlah from Faktur', 'Removed attribute status from Pengiriman']",93.44871041953874,7,7,7,0,0,8,8,0,Excellent,Excellent,0.27842055080918726,0.27842055080918726
student_035,89.02904496697242,2.711036727577448,22.0,0.12322894216261128,60.154034037675174,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.15687046945095, 'total_attr_cost': 11.29939301411311, 'total_method_cost': 11.248419056336086}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",missing_attributes,"[70, 85]","['Removed attribute tanggalPembayaran from Pembayaran', 'Removed attribute status from Pengiriman', 'Removed attribute deskripsi from Produk']",87.93114763837009,7,7,7,0,0,8,8,0,Good,Good,1.097897328602329,1.097897328602329
student_036,73.54740294864209,7.912680962185065,22.0,0.3596673164629575,59.188734686800416,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.427154287695885, 'total_attr_cost': 9.403239307800929, 'total_method_cost': 14.972482343514761}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",missing_methods,"[70, 85]","['Removed method masuk from Pelanggan', 'Removed method perbarui from Pelanggan']",69.22294442968463,7,7,7,0,0,8,8,0,Good,Fair,4.3244585189574565,4.3244585189574565
student_037,73.9697486523206,7.741888273010652,22.0,0.3519040124095751,58.70239803833621,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.563328549265862, 'total_attr_cost': 7.815331063667933, 'total_method_cost': 12.597878992557526}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",missing_methods,"[70, 85]","['Removed method tambahProduk from KeranjangBelanja', 'Removed method batalkanPesanan from Pesanan']",74.62537701887626,7,7,7,0,0,8,8,0,Good,Good,0.6556283665556606,0.6556283665556606
student_038,71.06853127579807,8.956035822133224,22.0,0.407092537369692,59.690938943198745,100.0,87.5,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 1, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.28653709590435, 'total_attr_cost': 8.520196658372878, 'total_method_cost': 14.985118955373764}",29,"{'node_substitutions': 28, 'edge_wrong_types': 1, 'total_operations': 29}",missing_methods,"[70, 85]","['Removed method masuk from Pelanggan', 'Removed method buatPesanan from Pesanan', 'Removed method kirimPesanan from Pengiriman']",72.79212877585037,7,7,7,0,0,8,8,1,Good,Good,1.723597500052307,1.723597500052307
